Text3,Text5,Text7,Text9,Text11,Text14,Text17,Text19,Text21,Text23
26871,PV,9/18/2015 12:00:00 AM,3,0,True,4-Exceed Standard 3-Met Standard 2-Below Standard 1-Not Yet Standard,0,HW,34454
26871,RO,9/22/2015 12:00:00 AM,3,0,True,,0,HW,35439
26871,PV SA,10/2/2015 12:00:00 AM,16,0,True,,0,SA,39573
26871,PV,10/9/2015 12:00:00 AM,5,0,True,,0,HW,42683
26871,THS,10/20/2015 12:00:00 AM,10,0,True,,0,SA,44120
26871,LD,11/6/2015 12:00:00 AM,5,0,True,,0,HW,52738
26871,LD 2,11/13/2015 12:00:00 AM,5,0,True,,0,HW,52739
26871,LD SA,11/13/2015 12:00:00 AM,10,0,True,,0,SA,52741
26871,GFC,11/20/2015 12:00:00 AM,5,0,True,,0,HW,55090
26871,FR,12/18/2015 12:00:00 AM,10,0,True,,0,HW,63833
26871,Cp,12/23/2015 12:00:00 AM,5,0,True,,0,CP,63834
26871,FR,1/8/2016 12:00:00 AM,5,0,True,,0,HW,65127
26871,Cp,1/15/2016 12:00:00 AM,5,0,True,,0,CP,67301
26871,HW,1/15/2016 12:00:00 AM,5,0,True,,0,HW,67302
26871,SA ,1/21/2016 12:00:00 AM,6,0,True,,0,SA,68836
26871,FT,1/29/2016 12:00:00 AM,5,0,True,,0,HW,71985
26871,SA FT,2/2/2016 12:00:00 AM,8,0,True,,0,SA,74053
26871,MX,2/11/2016 12:00:00 AM,3,0,True,,0,HW,75496
26871,FA,2/26/2016 12:00:00 AM,10,0,True,,0,HW,79113
26871,SA,2/26/2016 12:00:00 AM,4,0,True,,0,SA,79114
26871,AS,3/1/2016 12:00:00 AM,10,0,True,,0,CP,79115
26871,MD,3/11/2016 12:00:00 AM,5,0,True,,0,HW,82286
26871,SA,3/18/2016 12:00:00 AM,24,0,True,,0,SA,84219
26871,LD,4/1/2016 12:00:00 AM,5,0,True,,0,HW,87357
26871,LD,4/14/2016 12:00:00 AM,15,0,True,,0,SA,91493
